Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mauritius,57,67,69,60,63,65,70,67,55,89
Mexico,"102,181","99,385","94,889","105,958","103,550","118,569","132,074","122,305","84,090","113,269"
"Micronesia, Federated States",73,96,62,85,67,53,34,39,26,29
Moldova,"1,602","1,594","1,279","1,681","1,689","1,442","1,681","2,010","1,494","1,887"
Mongolia,286,347,335,324,437,416,468,541,426,559
Montenegro,227,231,202,209,222,192,206,254,162,244
Montserrat,51,65,47,43,45,45,52,50,37,55
Morocco,"3,872","3,768","3,538","3,805","3,684","2,943","2,646","3,143","2,462","3,179"
Mozambique,48,51,34,43,51,38,44,63,32,55
Namibia,42,40,31,42,33,27,29,61,39,43
Nepal,"2,448","2,711","2,888","4,225","5,004","4,511","5,358","7,412","5,794","7,232"
Netherlands,919,786,665,778,829,700,852,953,668,829
Netherlands Antilles (former),76,82,43,35,45,46,50,58,52,48
New Zealand,563,482,453,514,565,468,578,668,577,693
Nicaragua,"5,870","5,064","3,775","3,951","4,663","4,182","4,285","4,347","3,474","4,185"
Niger,143,167,161,180,140,126,110,143,112,154
Nigeria,"9,322","9,545","8,667","10,363","9,520","7,652","8,469","11,364","8,930","10,921"
North Macedonia,635,665,625,611,704,582,669,800,577,795
Norway,87,80,92,80,93,60,93,111,270,719
Oman,48,39,41,47,58,30,44,68,66,61
Pakistan,"11,150","12,948","11,210","11,912","11,729","10,168","10,418","13,080","9,975","12,377"
Palau,72,64,50,44,43,32,28,32,24,29
Panama,"1,532","1,598","1,277","1,412","1,458","1,266","1,308","1,362",989,"1,322"
Papua New Guinea,16,20,7,21,19,13,17,19,20,19
Paraguay,338,331,256,338,396,343,401,387,278,404
Peru,"11,814","11,782","9,572","10,701","11,319","10,014","10,047","9,901","6,910","10,095"
Philippines,"44,958","43,489","34,591","40,815","41,285","36,830","38,836","43,675","33,422","48,478"
Poland,"8,715","8,697","8,304","7,886","7,198","5,841","6,372","6,974","4,653","6,741"
Portugal,"1,607","1,585","1,587","1,690","1,665","1,807","2,035","1,712","1,081","1,555"
Qatar,101,107,69,75,98,95,92,105,120,140
Romania,"4,253","4,050","3,267","3,478","3,379","2,986","3,106","3,627","2,320","3,117"
Russia,"8,154","8,222","6,824","6,552","6,067","5,536","6,225","7,629","5,361","7,303"
Rwanda,285,374,302,300,369,267,343,466,410,502
Saint Kitts and Nevis,319,315,270,360,345,317,281,335,211,253
Saint Lucia,724,856,635,775,791,697,604,758,574,817
Saint Vincent and the Grenadines,511,574,405,467,500,507,402,528,363,479
Samoa,178,206,181,213,192,164,169,239,159,201
Saudi Arabia,779,927,795,796,869,872,992,"1,313",998,"1,382"
Senegal,790,869,806,974,969,882,849,957,742,"1,057"
Serbia,109,117,276,522,532,476,596,831,571,936
Serbia and Montenegro (former),"2,012","1,830","1,338","1,297","1,164",832,812,822,495,618
Seychelles,8,15,9,7,17,5,11,D,13,13
Sierra Leone,"1,861","1,613","1,406","1,692","1,662","1,328","1,179","1,605","1,320","1,324"
Singapore,293,263,258,285,308,279,332,359,255,301
Sint Maarten,-,-,7,17,33,21,22,D,D,18
Slovakia,401,413,317,443,428,384,394,432,275,424
Slovenia,64,58,52,61,63,52,57,68,68,69
Somalia,"9,286","6,875","4,097","3,691","3,998","3,774","3,983","6,915","5,685","4,601"
South Africa,"2,294","2,283","2,083","2,538","2,197","1,901","2,268","2,967","2,084","2,442"
South Sudan,81,139,132,131,101,74,109,146,101,122
Soviet Union (former),"2,610","2,807","2,334","2,372","2,268","2,123","2,253","2,280","1,589","2,106"
Spain,"1,242","1,367","1,326","1,414","1,515","1,469","1,674","1,945","1,517","2,342"
Sri Lanka,"1,146","1,258","1,104","1,246","1,497","1,364","1,481","1,609","1,140","1,577"
Sudan,"2,291","1,924","1,482","1,740","1,776","1,348","1,613","2,528","1,753","1,798"
Suriname,189,160,127,183,164,143,176,170,91,156
Sweden,798,783,724,885,795,708,797,936,731,"1,039"
Switzerland,427,452,388,411,375,333,436,488,365,459
Syria,"1,814","2,196","1,832","2,004","2,043","1,789","2,476","3,365","2,455","3,570"
Taiwan,"4,573","5,255","4,326","4,420","4,043","4,152","4,578","4,821","3,422","5,189"
Tajikistan,142,168,146,156,212,222,261,364,251,384
Tanzania,543,647,525,553,639,547,561,731,530,563
Thailand,"6,585","5,544","4,805","5,213","5,211","4,672","5,327","6,678","5,573","6,602"
Togo,"1,448","1,380","1,141","1,171","1,099",907,893,"1,055",927,"1,124"
Tonga,306,371,473,352,337,262,319,354,300,345
Trinidad and Tobago,"5,596","5,784","4,147","4,869","4,867","4,505","4,379","4,593","3,027","4,189"
Tunisia,345,362,310,314,352,344,306,393,295,404
Turkey,"3,329","3,390","2,925","3,150","3,201","3,111","3,280","3,289","2,305","3,496"
Turkmenistan,136,160,110,153,102,109,117,203,122,171
Turks and Caicos Islands,49,47,26,33,31,26,40,28,28,43
Uganda,820,763,724,817,823,742,703,922,727,"1,020"
Ukraine,"9,459","8,624","6,984","8,926","8,374","6,645","6,995","8,020","5,444","7,351"
United Arab Emirates,431,499,435,443,473,475,542,730,545,745
United Kingdom,"9,145","9,459","8,906","10,095","9,562","9,050","10,535","12,195","8,842","11,407"
United States,60,55,31,75,95,84,122,174,163,251
Uruguay,849,933,812,902,"1,044","1,028","1,074","1,088",822,"1,022"
Uzbekistan,"3,071","2,482","1,725","1,660","1,685","1,498","1,534","1,950","1,482","2,026"
Venezuela,"7,404","7,648","6,871","8,192","7,633","6,463","8,176","9,317","6,993","10,215"
Vietnam,"23,490","24,277","18,837","21,976","24,848","19,326","21,102","25,652","22,707","24,224"
"Virgin Islands, British",41,45,49,59,46,42,54,60,45,58
Yemen,"1,452","1,355","1,160","1,284","1,490","1,445","1,545","2,509","2,158","2,350"
Zambia,338,352,318,370,404,402,403,501,340,453
Zimbabwe,691,658,734,852,843,676,710,811,560,784
All other countries1,40,41,41,41,42,38,42,63,51,71
Unknown,359,201,142,89,24,66,47,127,75,108
