Year,N_EmigrationRate,N_ImmigrationRate,N_NetEmigration,N_NetImmigration,N_EmigrationGDPgrowth,N_ImmigrationGDPgrowth,N_EmigrationLogGDP,N_ImmigrationLogGDP,N_EmigrationPop,N_ImmigrationPop,N_PopulationTot,N_logGDP,N_GDP_growth_pct
1981-12-31,-0.006860157675504769,0.008892947865574171,-0.0031160520440126765,0.006224061015124913,0.007317630238712241,0.004767448777501098,0.012614579707390597,0.013381166847106848,0.002744040652964861,0.0038781767603870898,0.00317381854630381,0.012905075886651497,0.006351245684990125
1982-12-31,-0.006866360391904649,0.007873300460172568,-0.0031566025539456364,0.0046193204896284685,0.003305260223058641,0.0008168246487596845,0.012667806589759495,0.013279807059242739,0.0038029640040893025,0.002160099744399492,0.0032322848401970523,0.01288039622652736,0.002440856286723214
1983-12-31,-0.006814131697851052,0.006168772670848501,-0.0038129128947613847,0.0035827992989359734,0.0018425258220088766,0.003916992264239587,0.012646336546619244,0.01324809674808863,0.003199755557969716,0.0034267001718428676,0.0032905334035189773,0.012887040627206999,0.0026723123989011613
1984-12-31,-0.007116749347335293,0.006429134343200126,-0.004086416454678481,0.004019743308115969,0.005718794575340781,0.007199338921564597,0.012630640238785185,0.013295679283464507,0.004056609596283668,0.0021880404767349033,0.0033485202457178196,0.012882655034663668,0.006279842959172963
1985-12-31,-0.007119655642407853,0.006569960839324073,-0.003684135733412872,0.004325036059051607,0.0069534376785660166,0.004981567043086368,0.012555687036875696,0.013361010966602497,0.004019423754255878,0.0024499245446307047,0.003408145114717653,0.012869339514769295,0.006185445957379209
1986-12-31,-0.007265127760189109,0.007872525786729258,-0.0040964395499662985,0.004610225568438402,0.0073790664804433605,0.007178210971788408,0.0125747597967688,0.0133504971929943,0.004112855009698221,0.0025051726100172563,0.0034697820498258347,0.012885054755259001,0.007298724276981379
1987-12-31,-0.0076007419467017685,0.007185235538619849,-0.004094642796003344,0.00473623458688146,0.007245646485709481,0.007360671765505879,0.012525217800608284,0.013327690898838375,0.004185467945110023,0.002597248170903706,0.0035334619325411137,0.012854654125144846,0.0072928673900469485
1988-12-31,-0.007426015338134937,0.007897097455197405,-0.004182382459512466,0.005816508648436282,0.007414905038307126,0.010457395338442508,0.01258934702927847,0.013281645773646357,0.004264517353193018,0.0026405356880922007,0.0035978301433095246,0.012873553882229494,0.008663927372046912
1989-12-31,-0.00885233118723274,0.008649418359185503,-0.004005504112371474,0.007221172884099229,0.005742462450067939,0.007038801330191736,0.012631599825599048,0.013444203298326601,0.003933467208969974,0.0030743268865322587,0.0036621597387264844,0.012888211448565641,0.006151832622738611
1990-12-31,-0.009871049153880384,0.00997645478567475,-0.003908208877959265,0.007539148047255084,0.005289647692983488,0.006151432707154058,0.012322286740092177,0.013209427673084109,0.003131119892473311,0.004621934902714406,0.003727445896569749,0.012677143113288948,0.005634361698651716
1991-12-31,-0.010429932405293618,0.010179147277122835,-0.00506138374543502,0.00710116244071664,-0.001018732423251682,0.0029680733176251106,0.012359236565584733,0.013220942129278181,0.0043946964242702,0.002755194303049946,0.0037906693269785263,0.01267670703641916,0.00045009074443976786
1992-12-31,-0.013535827038427659,0.00807479362329978,-0.006759534718879207,0.005992987956351323,-0.005875238393174503,0.00439964248110451,0.012319591594152805,0.013195088777784674,0.00362644408896942,0.004184791013228863,0.003849782858673198,0.012669790467605553,-0.001765286043462897
1993-12-31,-0.012982104339880837,0.008635638887657804,-0.005388489684426574,0.005745008219258269,0.000736465974433606,0.0036406495781497014,0.012311910263622758,0.013148302398574261,0.003809742430402187,0.0040364498080832905,0.003907584561822452,0.012672879500812355,0.0019898504770900264
1994-12-31,-0.01174806403816046,0.008164588978801918,-0.00638930872413278,0.008489393930855816,0.005025623582158802,0.004845567197507149,0.012358080352796038,0.01326663589264527,0.004847587755267002,0.002380995499865151,0.0039648073691231816,0.012683247598636812,0.004961182349757156
1995-12-31,-0.012036054533790254,0.007187423902558695,-0.006182407442279741,0.00557863563327261,0.008447829187602238,0.006710329133242263,0.012393951264188505,0.013087664668884464,0.005203326910427108,0.0023236829481827334,0.004021157283821523,0.012678738872432106,0.007734539691601827
1996-12-31,-0.010610832866661871,0.0075178521456340935,-0.004981508230475634,0.005608371945427071,0.010457037939717905,0.008379363771613385,0.012382461340933695,0.013245894146535448,0.005069660713305336,0.00237548080862949,0.004077068116845815,0.012700568164050133,0.009691579035679397
1997-12-31,-0.011159391342485312,0.007020836076935008,-0.004991638860427432,0.005165525443751705,0.00944611303691997,0.008359675428954801,0.01236017202850893,0.013338999434527637,0.00380792414440372,0.004689272477953116,0.004132631425185078,0.01272079265177898,0.009045846549774908
1998-12-31,-0.010942192325860526,0.006876445869143733,-0.0052381150243034835,0.0055271635712723305,0.007843292691016787,0.0064164890328454825,0.012388411418277585,0.013260419047202213,0.005161698821923796,0.0027271132852897248,0.004187864607270167,0.012737214469847437,0.007272571227748263
1999-12-31,-0.0095596701785098,0.00749817158187483,-0.004200355673907008,0.005282687232540015,0.006679443582953849,0.008440901894458196,0.012435604692627559,0.013211053107446184,0.005604520445269599,0.002288384136625351,0.00424315922382617,0.012753946673447831,0.007402568573992473
2000-12-31,-0.00966913042079439,0.00858118324066293,-0.00477435404299285,0.00648781595184191,0.008997644908228238,0.009925662090886665,0.012443017975454447,0.013232273214079441,0.005600707453051957,0.002509805297399162,0.004299274966461307,0.01277533597066497,0.009388388985137048
2001-12-31,-0.009980247478985849,0.009404756079175014,-0.00587282218101081,0.005818768624545852,0.009257910837498553,0.006364998817756199,0.012482794273970223,0.013185539421055922,0.00608770247142925,0.0021695931790029323,0.004355485731619719,0.01279348160215548,0.007978939207717726
2002-12-31,-0.008829662311372104,0.010385265756836362,-0.008730186525865298,0.008966236638523958,0.007504952061012904,0.00736802069570083,0.012484743043531511,0.01320393706442596,0.006232092064980625,0.0022085393261087006,0.004410905035807018,0.012810272968778473,0.007442972600924282
2003-12-31,-0.009154441265354956,0.009676985751958982,-0.00821291797813234,0.007077929145378425,0.011484372684925692,0.007753624500233321,0.012510759399777317,0.013221651313688163,0.006312252181825165,0.0022326315915737575,0.004465687072553476,0.012832531529231696,0.009795718243433355
2004-12-31,-0.009163680484470796,0.009741299788030781,-0.00761833902876642,0.00724621125000089,0.013000388436889875,0.010625697717287181,0.012567194951470233,0.013228700946040221,0.006296487037896299,0.002278900523251956,0.004520290894579851,0.012859650233280125,0.011950525171381319
2005-12-31,-0.009621435269298241,0.01025752268611894,-0.008203917203212598,0.007182840673859119,0.013245770356521887,0.01107611503863379,0.012613649034091443,0.013248029938401795,0.006471591867720708,0.002076856943766511,0.004574916795277318,0.012887434477004332,0.012309392798275446
2006-12-31,-0.009281308906267615,0.011314227745705459,-0.00873937564815434,0.008461597207247323,0.014205789975799332,0.012595760454581943,0.012639125629484733,0.013318256213064313,0.006352638125317482,0.002155421333807921,0.004629570179329345,0.012917926605901615,0.013544830488141663
2007-12-31,-0.008526358580192335,0.012251069566107694,-0.008607606953526845,0.010553694010498046,0.014230974441544687,0.012211911268598098,0.01267435220994126,0.01332453707739317,0.006322775796921809,0.0024340746410848445,0.004685427941832561,0.012948114259394695,0.013380842579251383
2008-12-31,-0.008947404873101389,0.010410337678416664,-0.008822404543942366,0.008478732001985036,0.010699967343976465,0.006528811016228527,0.012688707534723918,0.013336468765230872,0.006715016074140518,0.002143790686274281,0.004742171433061405,0.012968267644732183,0.00889978408673788
2009-12-31,-0.009203938122968438,0.008789104020051723,-0.006309579941206942,0.006233894560437454,0.0013128162863995847,-0.0028992182011719396,0.01268233020450435,0.013324558071712685,0.006795780741009224,0.002280506320973456,0.0047995541553092,0.01296626252474383,-0.0005493463291583526
2010-12-31,-0.009747858861428546,0.008322195195773898,-0.0063401495923797275,0.006595872941932805,0.009842750657073338,0.009080718993711323,0.012659175436522951,0.013439742781114743,0.006315670446894318,0.0028523483936031763,0.004857429582350679,0.01298783537108792,0.009521895219868275
2011-12-31,-0.008286683824836702,0.007818622927603998,-0.007213145035850311,0.00668582198883894,0.009845464206290282,0.007757060455825165,0.012719409486009789,0.013441410389501252,0.006322933683938353,0.002802461566671732,0.004914744837031704,0.013008209847406376,0.009010102706104238
2012-12-31,-0.008257755565654733,0.0074996283980407145,-0.007764939281497067,0.006518406220047856,0.006222157544248305,0.007533956089180227,0.012766236573747366,0.01336223935861492,0.006552671635247467,0.0028906666691348145,0.0049722273867146395,0.013023458828269151,0.006788302179429452
2013-12-31,-0.00742059155167096,0.008444252803554169,-0.00811249158793674,0.007086893319665138,0.008345521143784554,0.006051735322325621,0.01276236431881539,0.013439520232401182,0.0065895174574782615,0.0027891985802695864,0.005029386549992594,0.01304035464123482,0.007403861701290886
2014-12-31,-0.0066727400132356885,0.008588442337226557,-0.008642594854154006,0.0067966791163799195,0.008399894168106336,0.00800518577942997,0.012829856538978886,0.013336367085477814,0.007291692428312028,0.00241778379946525,0.005085607469991907,0.01305911920739419,0.00822123668691598
2015-12-31,-0.006841601898394477,0.009909362460611571,-0.010511960094165537,0.008632327545747472,0.007909457844896436,0.007097115798099695,0.012892707604850756,0.013280176090397059,0.007714553986132016,0.002281786747385048,0.005141137925672928,0.01307624530853058,0.007524664243782191
2016-12-31,-0.008217752645396724,0.007978131284579963,-0.011078611905162898,0.00694653269148289,0.008044513244657159,0.00561858250348648,0.012815037192607338,0.013320312944318853,0.0057820720662739595,0.004711786653286785,0.0051962316296915055,0.013091609183017851,0.006716635365279524
2017-12-31,-0.008685721414005799,0.0096147661156244,-0.009955649248890605,0.008862557059985753,0.009521244213610298,0.00771644856756331,0.012807686205727375,0.0133962405981211,0.007847158575106206,0.002814135557553708,0.005251178281842285,0.013111256366014666,0.008590349617228167
2018-12-31,-0.007706206951539205,0.010335114279615034,-0.009925526698400333,0.008844051174816653,0.009084792300937367,0.006577827600469846,0.012859327014550058,0.013404815627449846,0.007962393792003933,0.0025894747566437572,0.005304212795562583,0.013129200328300476,0.007844504501758696
2019-12-31,-0.005393071812640607,0.010009274541212079,-0.008912760607140193,0.007971403864017885,0.007423247568549312,0.0058716104710681335,0.012848041043011748,0.013422553480761094,0.008626941579904611,0.0022833916671283773,0.0053550053091042365,0.013144368510903514,0.006622929486690598
2020-12-31,-0.003529002351425897,0.007066910508724945,-0.004402351351968887,0.0052629330006010435,-0.007684527663008496,-0.008393994059542298,0.012850950265233077,0.013404118025365355,0.008252991226478382,0.0024906177880439097,0.005402132788516063,0.01312462273603536,-0.00803552682760943
2021-12-31,-0.004061716106877406,0.0077299016604168965,-0.005586727798814566,0.006619520536313898,0.012436057332889456,0.01418098753599698,0.012959050649515289,0.013390628103412239,0.008118903187723805,0.0022072939214067833,0.005443122151390836,0.013154396233910754,0.013225867845874968
2022-12-31,-0.004037680308100562,0.02054114110618411,-0.008749494839753732,0.013762083738807324,0.008477387191507778,0.009599345622873078,0.0128600946031439,0.013496500539909764,0.008677952159729545,0.0022230549917619117,0.00548447671873503,0.013174948066596482,0.00903246136281482
2023-12-31,-0.0061596554997769785,0.009803157848529049,-0.010529545269265372,0.007259119711961458,0.006167798531170459,0.00333613186571513,0.012919678748046158,0.013521747836328299,0.00806911918505983,0.0023179490569563564,0.005526496602108818,0.013185856660760366,0.004915903794863892
